Ranking,Subject
1,art and design (photography)
2,art and design (textiles)
3,art and design (graphics)
4,fine art
5,art and design
6,communication studies 
7,dance
8,sociology
9,electronics
10,design/tech and food technology
11,sport/physical education studies
12,media/film/television studies 
13,law
14,business studies
15,design/tech and production design
16,music technology
17,infomration technology
18,film studies
19,psychology
20,drama and theatre studies
21,enlgish
22,english literature 
23,geology
24,mathematics
25,business studies and economics
26,science: environmental
27,geography
28,religious studies 
29,government and politics
30,english language
31,biology
32,history
33,general studies
34,classical civilisation
35,economics
36,further mathematics
37,latin
38,computer studies/computing
39,accounting/finance
40,music
41,logic/philosophy
42,spanish
43,chemistry
44,physics
45,french
46,german
47,critical thinking
