School Name	Average Point Score	School Type
Birchwood Community High School	20.57	Academy converter - mainstream
University Academy Warrington	29.72	Sponsored academy
UTC Warrington	29.72	Free school - UTC (university technical college)
Warrington Collegiate	29.72	General Further Education College
Bridgewater High School	31.52	Academy converter - mainstream
Hilbre High School	23.11	Academy converter - mainstream
The Kingsway Academy	16.88	Sponsored academy
The Mosslands School	18.25	Community school
The Oldershaw Academy	17.99	Academy converter - mainstream
Pensby High School	23.05	Community school
Bebington High Sports College	26.17	Foundation school
St Anselm's College	29.1	Academy converter - mainstream
St John Plessington Catholic College	28.59	Academy converter - mainstream
St Mary's Catholic College	23.99	Voluntary aided school
Birkenhead High School Academy	29.64	Sponsored academy
Birkenhead School	44.62	Independent school
Birkenhead Sixth Form College	29.74	Sixth Form College
South Wirral High School	21.59	Foundation school
Upton Hall School FCJ	35.76	Academy converter - mainstream
Weatherhead High School	29.02	Academy converter - mainstream
West Kirby Grammar School	37.22	Academy converter - mainstream
Wirral Grammar School for Boys	33.48	Academy converter - mainstream
Wirral Grammar School for Girls	40.3	Academy converter - mainstream
Wirral Metropolitan College	8.75	General Further Education College
Calday Grange Grammar School	33.63	Academy converter - mainstream
The Blue Coat CofE School	33.85	Academy converter - mainstream
Hopwood Hall College	29.72	General Further Education College
Rochdale Sixth Form College	31.32	Sixth Form College
St Anne's Church of England Academy	20.22	Sponsored academy
Cardinal Langley Roman Catholic High School	27.4	Voluntary aided school
Irlam and Cadishead College	12.11	Community school
Oakwood Academy	29.72	Academy converter - special school
St Ambrose Barlow RC High School	29.72	Voluntary aided school
Salford City Academy	26.79	Sponsored academy
Stockport College	13.26	General Further Education College
Stockport Grammar School	42.17	Independent school
All Saints Catholic College	22.12	Academy converter - mainstream
Hyde Community College	21.75	Community school
Ashton Sixth Form College	28.82	Sixth Form College
Audenshaw School Academy Trust	26.08	Academy converter - mainstream
New Charter Academy	24.24	Sponsored academy
Tameside College	20.5	General Further Education College
Altrincham College of Arts	22.79	Academy converter - mainstream
Altrincham Grammar School for Boys	39.79	Academy converter - mainstream
Altrincham Grammar School for Girls	44.85	Academy converter - mainstream
Ashton-on-Mersey School	32.05	Academy converter - mainstream
Loreto Grammar School	40.47	Academy converter - mainstream
Manor High School	29.72	Community special school
North Cestrian Grammar School	21.43	Independent school
Saint Ambrose College	36.61	Academy converter - mainstream
Sale Grammar School	38.35	Academy converter - mainstream
Stretford Grammar School	32.51	Foundation school
Trafford College	22.18	General Further Education College
Urmston Grammar Academy	34.35	Academy converter - mainstream
Blessed Thomas Holford Catholic College	29.41	Voluntary aided school
Wellacre Technology Academy	10.4	Academy converter - mainstream
Wellington School	27.45	Academy converter - mainstream
The Deanery Church of England High School and Sixth Form College	26.74	Voluntary aided school
Atherton Community School	22.92	Free school - mainstream
Oakfield High School and College	29.72	Community special school
St John Rigby RC Sixth Form College	30.08	Sixth Form College
St Mary's Catholic High School	31.72	Voluntary aided school
Wigan and Leigh College	12.5	General Further Education College
Wigan UTC	10.96	Free school - UTC (university technical college)
All Hallows Catholic College	31.94	Academy converter - mainstream
Congleton High School	29.02	Academy converter - mainstream
Crewe Engineering and Design UTC	29.72	Free school - UTC (university technical college)
Alsager School	31.5	Academy converter - mainstream
Eaton Bank Academy	26.52	Academy converter - mainstream
The Fallibroome Academy	33.97	Academy converter - mainstream
Holmes Chapel Comprehensive School	33.46	Academy converter - mainstream
The King's School In Macclesfield	41.92	Independent school
Knutsford Academy	35.94	Academy converter - mainstream
Knutsford Academy The Studio	27.6	Free school - studio school
Macclesfield College	19.46	General Further Education College
Malbank School and Sixth Form College	27.62	Foundation school
Poynton High School	30.78	Community school
Reaseheath College	8.84	Agriculture and Horticulture College
Sandbach High School and Sixth Form College	34.97	Academy converter - mainstream
Sandbach School	26.36	Free school - mainstream
South Cheshire College	26.75	General Further Education College
Tytherington School	35.72	Academy converter - mainstream
Wilmslow High School	33.05	Community school
Brine Leas School	32.04	Academy converter - mainstream
Alderley Edge School for Girls	35.82	Independent school
The Catholic High School, Chester A Specialist Science College	31.17	Academy converter - mainstream
Christleton High School	29.54	Academy converter - mainstream
Dorin Park School & Specialist SEN College	29.72	Community special school
Ellesmere Port Catholic High School	28.66	Voluntary aided school
The Grange School	45.61	Independent school
The Hammond	32.11	Independent school
Helsby High School	32.21	Community school
The King's School	45.15	Independent school
Mid-Cheshire College of Further Education	29.72	General Further Education College
Neston High School	27.25	Academy converter - mainstream
Queen's Park High School	22.61	Community school
The Queen's School	42.81	Independent school
The Bishops' Blue Coat Church of England High School	25.55	Academy converter - mainstream
Tarporley High School and Sixth Form College	30.05	Academy converter - mainstream
University of Chester CE Academy	17.88	Sponsored academy
Upton-by-Chester High School	30.86	Foundation school
West Cheshire College	13.28	General Further Education College
The Whitby High School	24.73	Foundation school
Abbey Gate College	37.11	Independent school
The Winsford Academy	15.09	Sponsored academy
The Cavendish High Academy	29.72	Academy converter - special school
The Heath School	26.53	Academy converter - mainstream
Ormiston Bolingbroke Academy	26.55	Sponsored academy
Riverside College Halton	29.83	General Further Education College
St Chads Catholic and Church of England High School	20.02	Voluntary aided school
Saints Peter and Paul Catholic College	30	Voluntary aided school
Sandymoor	29.72	Free school - mainstream
All Saints Catholic High School	10.43	Voluntary aided school
Halewood Academy	20.12	Academy converter - mainstream
Knowsley Community College	10.76	General Further Education College
Hutton Church of England Grammar School	26.64	Voluntary aided school
Jamea Al Kauthar	23.85	Independent school
Ashton Community Science College	29.72	Community school
Abrar Academy	29.72	Independent school
Kirkham Grammar School	30.21	Independent school
Lancaster and Morecambe College	29.72	General Further Education College
Lancaster Girls' Grammar School	39.02	Academy converter - mainstream
Lancaster Royal Grammar School	42.07	Academy converter - mainstream
Lytham St Annes Technology and Performing Arts College	28.75	Foundation school
Accrington Academy	25.51	Sponsored academy
Bacup and Rawtenstall Grammar School	37.05	Academy converter - mainstream
Accrington and Rossendale College	29.51	General Further Education College
Baines School	22.48	Voluntary aided school
Accrington St Christopher's Church of England High School	31.92	Academy converter - mainstream
Moor Park High School and Sixth Form	24.03	Foundation school
Moorland School Limited	29.72	Independent school
Morecambe Community High School	23.91	Community school
Myerscough College	29.72	Agriculture and Horticulture College
Preston Muslim Girls High School	29.72	Voluntary aided school
Ripley St Thomas Church of England Academy	29.69	Academy converter - mainstream
Rossall School	31.71	Independent school
Runshaw College	34.43	General Further Education College
The St Anne's College Grammar School	24	Independent school
Stonyhurst College	39.14	Independent school
Thomas Whitham Sixth Form	24.12	Community school
UTC Lancashire	10.16	Free school - UTC (university technical college)
Alder Grange Community and Technology School	22.59	Community school
Burnley College	26.25	General Further Education College
Burnley High School	29.72	Free school - mainstream
Cardinal Newman College	35.41	Sixth Form College
Carnforth High School	18.15	Community school
Carr Hill High School and Sixth Form Centre	23.24	Community school
Eden Boys' School Bolton	29.72	Free school - mainstream
Kearsley Academy	7.02	Sponsored academy
Lord's Independent School	29.72	Independent school
Madrasatul Imam Muhammad Zakariya	32	Independent school
Rivington and Blackrod High School	27.6	Voluntary controlled school
Thornleigh Salesian College	28.35	Voluntary aided school
Turton School	28.86	Community school
Bolton College	10.67	General Further Education College
Bolton St Catherine's Academy	17.22	Sponsored academy
Bolton School Boys' Division	40.98	Independent school
Bolton School Girls' Division	41.27	Independent school
Bolton Sixth Form College	28.32	Sixth Form College
Bolton UTC	29.72	Free school - UTC (university technical college)
Bolton Wanderers Free School	29.72	Free school - 16-19
Al Jamiah Al Islamiyyah	29.72	Independent school
Canon Slade CofE School	33.66	Voluntary aided school
Darul Uloom Al Arabiya Al Islamiya	34.62	Independent school
Holy Cross College	29.52	Sixth Form College
St Monica's RC High School and Sixth Form Centre	29.72	Voluntary aided school
Bury College	22.75	General Further Education College
Bury Grammar School Boys	39.14	Independent school
Bury Grammar School Girls	36.47	Independent school
Consett Academy	33.92	Sponsored academy
Derwentside College	29.72	General Further Education College
Durham Community Business College for Technology and Enterprise	29.72	Community school
Durham High School for Girls	43	Independent school
Durham Johnston Comprehensive School	40.98	Community school
Durham School	35.83	Independent school
Durham Sixth Form Centre	31.9	Community school
East Durham College	19.79	General Further Education College
Framwellgate School Durham	33.29	Academy converter - mainstream
Apollo Studio Academy	29.72	Free school - studio school
The Hermitage Academy	29.02	Academy converter - mainstream
King James I Academy Bishop Auckland	27.99	Academy converter - mainstream
New College Durham	23.93	General Further Education College
Barnard Castle School	30.16	Independent school
North Durham Academy	25.19	Sponsored academy
Park View School	26.34	Academy converter - mainstream
St Bede's Catholic Comprehensive School and Byron College	29.78	Voluntary aided school
St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester	33.88	Academy converter - mainstream
St John's School & Sixth Form College - A Catholic Academy	30.64	Academy converter - mainstream
St Leonard's Roman Catholic Voluntary Aided Comprehensive School	35.44	Voluntary aided school
Bishop Auckland College	29.72	General Further Education College
Teesdale School	31.98	Academy converter - mainstream
UTC South Durham	29.72	Free school - UTC (university technical college)
Whitworth Park School and Sixth Form College	24.38	Foundation school
Wolsingham School	22.39	Community school
Woodham Academy	29.72	Academy converter - mainstream
Darlington College	29.72	General Further Education College
Polam Hall School	25.33	Free school - mainstream
Queen Elizabeth Sixth Form College	31.88	Sixth Form College
Carmel College	31.33	Academy converter - mainstream
Dyke House Sports and Technology College	24.52	Sponsored academy
The English Martyrs School and Sixth Form College	28.31	Academy converter - mainstream
Hartlepool College of Further Education	10	General Further Education College
Hartlepool Sixth Form College	26.07	Sixth Form College
Cleveland College of Art and Design	34.92	Art, Design and Performing Arts College
The King's Academy	34.18	Sponsored academy
Macmillan Academy	30.49	Sponsored academy
Middlesbrough College	22.57	General Further Education College
Trinity Catholic College	26.58	Voluntary aided school
Freebrough Academy	16.11	Sponsored academy
Hillsview Academy	21.65	Sponsored academy
Nunthorpe Academy	35.01	Academy converter - mainstream
Redcar & Cleveland College	29.72	General Further Education College
Conyers School	31.97	Academy converter - mainstream
Egglescliffe School	36.05	Community school
Ingleby Manor Free School & Sixth Form	29.72	Free school - mainstream
Red House School	29.72	Independent school
Stockton Riverside College	26.52	General Further Education College
Teesside High School	32.05	Independent school
Yarm School	42.9	Independent school
Cottingham High School and Sixth Form College	32.96	Academy converter - mainstream
Driffield School and Sixth Form	26.09	Community school
East Riding College	21.29	General Further Education College
Focus School - Cottingham Campus	32.03	Independent school
Goole High School	12.14	Academy converter - mainstream
Headlands School	27.15	Community school
Hessle High School and Penshurst Primary	34.71	Academy converter - mainstream
Hornsea School and Language College	28.98	Community school
Hull Collegiate School	34.63	Independent school
Longcroft School and Sixth Form College	27.88	Community school
Pocklington School	37.72	Independent school
Beverley Grammar School	29.05	Academy converter - mainstream
Beverley High School	30.95	Community school
South Holderness Technology College	27.35	Community school
South Hunsley School and Sixth Form College	31.49	Academy converter - mainstream
Bishop Burton College	29.72	Agriculture and Horticulture College
Withernsea High School	21.64	Community school
Woldgate School and Sixth Form College	30.92	Community school
Wolfreton School and Sixth Form College	29.93	Community school
Bridlington School	21.77	Voluntary controlled school
Archbishop Sentamu Academy	23.96	Sponsored academy
Hull College	16.73	General Further Education College
Hymers College	39.5	Independent school
St Mary's College	33.02	Voluntary aided school
Sirius Academy West	13.64	Sponsored academy
Wilberforce College	25.17	Sixth Form College
Wyke Sixth Form College	28.58	Sixth Form College
Franklin College	25.5	Sixth Form College
Grimsby Institute of Further and Higher Education	29.72	General Further Education College
Havelock Academy	17.38	Sponsored academy
Oasis Academy Immingham	12.56	Sponsored academy
St James' School	27.4	Independent school
Tollbar Academy	32.64	Academy converter - mainstream
Humber UTC	29.72	Free school - UTC (university technical college)
John Leggott Sixth Form College	31.49	Sixth Form College
North Lindsey College	16.44	General Further Education College
Baysgarth School	18.67	Community school
Sir John Nelthorpe School	25.02	Voluntary controlled school
South Axholme Academy	29.72	Academy converter - mainstream
The Vale Academy	22.24	Academy converter - mainstream
Craven College	24.43	General Further Education College
Ampleforth College	39.94	Independent school
Easingwold School	28.89	Community school
Ermysted's Grammar School	36.72	Voluntary aided school
The Faculty of Queen Ethelburga's	46.2	Independent school
Fyling Hall School	33.56	Independent school
Giggleswick School	35.33	Independent school
Harrogate Grammar School	32.67	Academy converter - mainstream
Harrogate High School	22	Academy converter - mainstream
Harrogate Ladies' College	38.79	Independent school
Ashville College	36.26	Independent school
King James's School	32.11	Community school
Lady Lumley's School	27.4	Community school
Malton School	28.83	Community school
Northallerton School & Sixth Form College	32.7	Voluntary controlled school
Norton College	30.2	Academy converter - mainstream
Outwood Academy Ripon	20.53	Academy converter - mainstream
Queen Ethelburga's College	50.74	Independent school
Queen Margaret's School	42.12	Independent school
Read School	23.28	Independent school
Richmond School	28.35	Community school
Ripon Grammar School	39.95	Community school
Rossett School	29.47	Academy converter - mainstream
