Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
28	University of Cambridge	551	4.18	3.00	80	100.0
27	University of Oxford	513	4.06	2.87	75	95.7
26	University College London	479	4.04	2.91	75	95.1
25	London School of Economics and Political Science	457	4.16	2.84	75	94.5
24	University of Southampton	N/A	4.2	3.23	N/A	94.4
23	The University of Edinburgh	480	3.98	3.02	70	93.9
22	University of Birmingham	326	4.26	3.37	80	93.2
21	University of Exeter	N/A	4.28	2.99	N/A	92.8
20	Durham University	458	4.05	2.96	75	92.7
19	University of St Andrews	501	4.04	2.67	65	91.3
18	University of Sussex	373	4.15	2.91	70	89.5
17	The University of Manchester	382	4.15	3.12	65	89.3
16	Queen's University, Belfast	339	4.35	3.07	50	86.0
15	University of Kent	351	4.17	2.63	65	85.1
14	University of Aberdeen	402	4.21	2.76	45	84.4
13	Brunel University London	328	4.61	2.62	50	84.3
12	University of Bristol	386	3.64	2.17	75	84.1
11	The School of Oriental and African Studies, University of London	413	3.95	2.80	45	83.3
10	Goldsmiths, University of London	335	4.09	2.88	45	81.9
9	University of Roehampton	258	4.1	2.65	50	78.8
8	University of Central Lancashire	N/A	4.13	2.09	N/A	78.7
7	Oxford Brookes University	324	4.28	2.38	40	78.3
6	Liverpool John Moores University	332	4.13	2.49	50	78.3
5	University of Wales Trinity Saint David	236	4.23	2.26	45	75.0
4	Bournemouth University	319	4.06	N/A	N/A	72.8
3	University of East London	246	3.61	2.74	N/A	71.9
2	University Campus Suffolk	283	3.99	N/A	40	69.5
1	Birmingham City University	325	3.61	2.02	35	67.9
