Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
116	University of Cambridge	593	4.17	3.51	82	100.0
115	University of Oxford	557	4.24	3.62	74	97.8
114	University of Bath	512	4.49	3.41	77	97.8
113	University of St Andrews	528	4.33	3.29	75	96.7
112	University College London	514	3.98	3.30	77	95.6
111	Durham University	504	4.05	3.04	77	94.7
110	University of Birmingham	419	3.97	3.41	81	93.6
109	University of Glasgow	435	4.19	3.21	75	93.6
108	University of Exeter	474	3.98	3.22	73	93.2
107	Cardiff University	436	4.18	3.52	70	93.0
106	University of Surrey	456	4.26	2.86	72	92.1
105	University of Kent	406	4.05	2.96	78	92.1
104	University of Bristol	457	4.02	3.20	68	92.0
103	University of Sussex	408	4.1	3.36	74	91.9
102	Newcastle University	440	4.29	3.37	63	91.8
101	The University of Nottingham	443	4.03	3.19	71	91.7
100	University of Southampton	411	4.02	3.21	73	91.6
99	Royal Holloway, University of London	444	4.41	3.44	60	91.5
98	University of York	446	4.19	3.46	62	91.4
97	University of Leeds	444	4.19	3.07	64	90.9
96	The University of Edinburgh	479	3.6	3.35	65	90.7
95	Lancaster University	407	3.97	3.02	72	90.6
94	King's College London	431	3.95	3.34	N/A	90.5
93	The University of Warwick	449	3.97	3.29	62	90.4
92	Loughborough University	404	4.12	3.24	64	90.3
91	University of Strathclyde	444	4.24	2.80	58	89.2
90	University of Aberdeen	425	4.1	3.23	57	89.1
89	The University of Manchester	414	4.05	3.23	59	89.0
88	University of East Anglia (UEA)	417	4.29	3.10	56	89.0
87	Swansea University	331	3.87	3.18	73	88.4
86	Aston University	366	4.12	3.37	62	88.3
85	University of Leicester	370	4.21	3.06	62	88.2
84	Bangor University	330	4.25	3.28	66	88.1
83	The University of Sheffield	414	3.69	3.19	61	87.6
82	University of Lincoln	351	4.56	2.36	67	87.5
81	Queen's University, Belfast	377	4.06	2.99	55	87.0
80	University of Stirling	373	4.04	3.27	55	86.8
79	University of Dundee	326	4.32	3.18	60	86.6
78	University of Reading	399	3.96	3.05	50	86.3
77	University of Essex	308	4.26	3.30	57	86.3
76	University of Portsmouth	349	4.27	2.80	56	86.2
75	Abertay University	368	4.15	2.73	58	85.9
74	City University London	358	4.19	2.73	55	85.8
73	Heriot-Watt University	352	3.67	2.71	62	85.0
72	Coventry University	312	4.15	2.69	66	85.0
71	Oxford Brookes University	352	4.09	2.57	55	84.9
70	Keele University	339	4.13	2.47	57	84.9
69	University of Bradford	297	4.13	2.86	65	84.7
68	York St John University	290	4.27	2.46	66	84.6
67	University of Liverpool	368	3.74	3.15	52	84.5
66	Goldsmiths, University of London	329	3.81	2.98	51	83.9
65	De Montfort University	279	4.3	2.55	62	83.9
64	Northumbria University	365	4.02	2.69	50	83.8
63	Edinburgh Napier University	390	3.99	2.65	52	83.7
62	Manchester Metropolitan University	332	4.38	2.88	48	83.7
61	University of Hull	337	3.69	2.81	55	83.6
60	University of Huddersfield	328	3.96	2.83	58	83.4
59	Nottingham Trent University	295	4.28	2.89	52	83.4
58	The University of Buckingham	242	4.3	N/A	82	83.1
57	Plymouth University	317	4.02	3.04	46	83.1
56	Queen Mary, University of London	387	3.74	3.07	44	83.0
55	Middlesex University	305	3.94	2.57	61	82.8
54	Brunel University London	335	3.92	2.72	47	82.6
53	University of the West of England	329	3.99	3.06	50	82.5
52	University of Roehampton	276	3.97	2.79	51	82.0
51	University of Salford	323	4.08	2.63	52	81.8
50	Bath Spa University	316	4.08	2.15	57	81.6
49	Teesside University	299	4.08	2.99	46	81.5
