Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
20	University of Reading	460	4.05	3.05	85	100.0
19	University of Southampton	396	3.86	3.23	95	99.5
18	University of East Anglia (UEA)	455	4.21	3.26	85	99.5
17	Aston University	359	4.47	3.37	95	99.5
16	Cardiff University	N/A	4.11	3.42	N/A	99.1
15	Manchester Metropolitan University	452	4.08	2.88	90	98.8
14	Newcastle University	483	4.14	3.04	75	98.8
13	The University of Manchester	398	4.05	3.38	85	98.3
12	University of Strathclyde	N/A	3.67	3.28	N/A	97.4
11	City University London	394	4.54	3.06	80	96.9
10	University of Dundee	N/A	3.65	3.07	N/A	94.2
9	The University of Sheffield	373	3.97	3.01	75	94.2
8	University of Leeds	381	4.05	N/A	90	93.8
7	Queen Margaret University	464	3.96	3.24	55	93.3
6	University of St Mark and St John	312	4.02	N/A	100	93.1
5	De Montfort University	346	4.16	N/A	90	92.9
4	Birmingham City University	375	4.04	N/A	85	92.6
3	Cardiff Metropolitan University	385	4.15	N/A	80	92.4
2	Leeds Beckett University	373	3.99	1.76	80	91.9
1	University of Central Lancashire	277	4.18	2.63	70	88.3
