Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
98	University of Birmingham	408	4.35	2.89	82	100.0
97	The University of Warwick	458	4.03	3.41	68	99.6
96	University of Bristol	476	4.12	3.17	62	99.0
95	University of Glasgow	455	4.18	3.22	60	98.1
94	Lancaster University	389	3.83	3.10	78	97.8
93	University of Surrey	406	4.39	2.84	71	97.7
92	University of Exeter	451	4.34	3.04	56	97.5
91	University of East Anglia (UEA)	503	4.05	3.27	48	96.8
90	The University of Manchester	444	4.3	3.42	51	96.7
89	Queen Mary, University of London	420	4.34	3.62	52	96.5
88	University of York	432	4.02	2.86	61	96.0
87	University of Leeds	402	4.14	2.89	65	95.9
86	Edinburgh Napier University	419	4.0	2.87	60	95.6
85	King's College London	431	3.9	3.30	53	95.4
84	University of Essex	328	4.55	3.01	67	95.2
83	University of Kent	362	4.12	3.20	65	95.2
82	Royal Holloway, University of London	413	3.86	3.22	56	95.0
81	Loughborough University	424	4.0	2.80	57	95.0
80	The University of Edinburgh	420	3.74	2.96	62	94.9
79	University of Reading	360	4.32	2.94	59	94.2
78	Royal Central School of Speech & Drama, University of London	355	3.92	3.03	64	94.1
77	University of Sussex	386	3.78	3.28	N/A	93.6
76	Royal Conservatoire of Scotland	319	4.13	2.85	75	93.6
75	Coventry University	341	4.37	2.98	63	93.5
74	University of Aberdeen	408	4.1	3.24	37	91.9
73	University of Roehampton	309	4.15	3.30	56	91.8
72	De Montfort University	316	4.23	2.84	63	91.8
71	The University of Nottingham	360	3.93	3.23	49	91.7
70	University of Lincoln	348	4.04	2.02	65	91.5
69	Middlesex University	330	4.12	2.50	62	91.5
68	Robert Gordon University	N/A	4.21	N/A	72	91.4
67	Falmouth University	315	3.84	2.14	74	91.1
66	Oxford Brookes University	326	4.31	3.05	49	90.9
65	University of the Arts, London	332	3.78	3.12	51	90.7
64	Queen Margaret University	415	4.07	2.59	40	90.4
63	Bournemouth University	383	3.44	3.10	51	90.1
62	Norwich University of the Arts	321	3.93	2.69	60	89.8
61	University of Hull	339	4.04	2.47	52	89.6
60	Queen's University, Belfast	364	4.18	2.83	35	89.5
59	Bath Spa University	336	4.17	2.69	50	89.5
58	Brunel University London	342	4.2	2.75	39	89.2
57	Goldsmiths, University of London	355	3.47	2.66	47	89.1
56	Northumbria University	366	4.03	2.78	42	89.0
55	Manchester Metropolitan University	369	3.94	2.36	46	88.9
54	University of Hertfordshire	331	3.62	2.55	58	88.8
53	University of Derby	321	3.91	2.63	52	88.8
52	University of Chichester	325	4.35	2.41	48	88.8
51	University of Westminster	299	4.03	3.36	45	88.3
50	University of Central Lancashire	314	4.16	2.27	52	88.0
49	University of the West of Scotland	389	4.11	N/A	48	88.0
48	Arts University Bournemouth	331	3.99	N/A	60	87.7
47	University of Greenwich	369	3.69	2.48	39	87.7
46	Nottingham Trent University	362	4.03	N/A	52	87.5
45	Birmingham City University	339	4.06	N/A	56	87.5
44	University of East London	337	3.45	2.47	51	87.4
43	University of Huddersfield	325	4.1	N/A	58	87.4
42	University of Chester	307	4.24	1.81	50	87.2
41	Liverpool John Moores University	357	4.23	N/A	48	87.2
40	University of South Wales	333	3.81	2.70	44	87.1
39	University of Portsmouth	350	4.04	N/A	52	87.1
38	Kingston University	310	3.74	2.84	46	87.1
37	The University of Northampton	327	4.49	N/A	49	87.0
36	University of Gloucestershire	348	4.21	N/A	49	86.9
35	University of West London	311	3.87	1.88	55	86.8
34	University for the Creative Arts	317	3.83	2.72	45	86.6
33	Liverpool Hope University	321	3.89	1.79	43	86.6
32	Ulster University	274	4.26	2.91	34	86.5
31	Aberystwyth University	285	3.86	2.81	41	86.4
30	Teesside University	301	4.25	1.95	47	86.3
29	St Mary's University, Twickenham	327	4.11	N/A	51	86.3
28	University of Brighton	310	3.52	2.95	45	86.3
27	The University of Winchester	308	4.21	2.40	38	86.3
26	Plymouth University	312	4.06	2.76	35	86.3
25	University of the West of England	328	4.01	N/A	50	85.9
24	Cardiff Metropolitan University	286	4.59	N/A	49	85.8
23	London South Bank University	273	4.18	2.42	41	85.8
22	Sheffield Hallam University	287	3.91	2.72	42	85.7
21	Edge Hill University	343	3.99	1.72	37	85.5
20	University of Sunderland	276	4.35	1.88	44	85.4
19	York St John University	284	3.78	2.29	45	85.2
18	University of Salford	310	3.62	2.28	42	84.8
17	University of Bolton	314	4.15	N/A	44	84.6
16	University of Wales Trinity Saint David	322	3.74	N/A	48	84.5
15	Staffordshire University	271	4.09	1.86	42	84.4
14	Leeds Beckett University	305	4.06	1.41	42	84.1
13	Canterbury Christ Church University	268	3.96	2.39	36	84.0
12	Anglia Ruskin University	258	4.1	2.33	34	83.7
11	Southampton Solent University	287	4.08	N/A	42	83.1
10	Wrexham Glyndwr University	218	4.02	N/A	56	82.9
9	Buckinghamshire New University	283	4.07	N/A	41	82.7
8	University of Bedfordshire	250	4.23	1.80	37	82.6
7	London Metropolitan University	268	4.15	N/A	42	82.6
6	University Campus Suffolk	314	3.92	N/A	33	82.0
5	University of St Mark and St John	233	4.45	N/A	N/A	81.9
4	University of Worcester	257	4.11	2.05	29	81.4
3	Bishop Grosseteste University	286	3.55	N/A	41	81.4
2	University of Cumbria	297	3.94	N/A	32	81.3
1	Newman University	307	4.32	N/A	22	80.9
