Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
69	University of Cambridge	629	3.92	3.48	96	100.0
68	Imperial College London	597	4.47	3.34	88	98.8
67	University of Bath	531	4.33	3.08	88	95.7
66	University of Leeds	451	4.27	3.14	94	94.7
65	University of Bristol	512	4.19	3.30	84	94.7
64	Loughborough University	433	4.36	3.08	94	94.5
63	Lancaster University	401	4.27	3.08	98	94.4
62	University of Surrey	475	4.24	2.98	90	93.8
61	University of Birmingham	428	4.14	2.99	94	93.6
60	University of Oxford	N/A	3.94	3.51	N/A	93.6
59	University of Strathclyde	509	3.99	3.03	86	93.5
58	University of Glasgow	488	3.81	3.25	88	93.4
57	University of Southampton	448	3.82	3.23	92	93.4
56	Heriot-Watt University	434	4.32	3.30	86	93.3
55	University of Exeter	444	3.97	3.18	90	92.6
54	The University of Edinburgh	487	3.61	3.30	86	92.5
53	University of Aberdeen	440	3.87	2.94	94	92.5
52	The University of Sheffield	436	4.09	3.11	88	92.3
51	The University of Nottingham	427	4.18	3.16	86	92.2
50	Cardiff University	402	4.1	3.31	92	92.2
49	University College London	486	3.81	3.12	82	92.0
48	The University of Manchester	464	3.84	3.11	86	91.8
47	Newcastle University	424	3.82	3.02	92	91.6
46	Swansea University	350	4.19	3.29	90	91.4
45	University of Liverpool	351	3.99	3.14	90	90.1
44	Robert Gordon University	445	3.82	2.58	92	90.0
43	Queen's University, Belfast	379	3.74	2.99	86	89.5
42	University of Sussex	339	4.04	2.97	90	89.3
41	Brunel University London	394	3.99	2.72	84	89.2
40	Aston University	380	3.86	2.83	88	88.8
39	Coventry University	336	4.34	2.62	90	88.8
38	University of Dundee	408	3.93	3.31	76	88.7
37	University of Leicester	370	3.48	2.99	86	88.2
36	Queen Mary, University of London	378	3.88	3.29	72	87.5
35	Teesside University	317	4.07	2.63	92	87.2
34	Ulster University	309	3.92	2.89	86	87.1
33	University of Hull	311	4.06	2.82	86	87.0
32	Northumbria University	348	3.84	2.80	78	86.8
31	De Montfort University	268	4.4	2.29	84	86.2
30	City University London	343	4.24	2.85	72	85.9
29	University of Portsmouth	316	4.16	2.46	82	85.8
28	University of Sunderland	242	4.18	2.03	92	85.6
27	University of Bradford	302	4.25	2.69	82	85.6
26	Liverpool John Moores University	350	4.11	2.45	80	85.3
25	Plymouth University	302	3.89	2.72	82	85.3
24	University of Salford	282	4.02	2.49	90	85.1
23	University of Derby	292	4.12	1.67	88	85.0
22	University of Huddersfield	314	3.82	2.48	82	84.5
21	Oxford Brookes University	349	4.08	2.56	68	84.0
20	Manchester Metropolitan University	344	4.13	2.69	66	84.0
19	Sheffield Hallam University	288	3.86	2.55	76	83.9
18	Glasgow Caledonian University	358	3.65	2.40	76	83.2
17	University of Hertfordshire	299	3.59	2.52	76	83.2
16	University of the West of England	318	3.68	2.85	72	82.8
15	University of Greenwich	317	3.99	2.91	60	82.7
14	University of the West of Scotland	379	4.33	2.48	56	82.4
13	University of Central Lancashire	305	3.84	2.63	72	82.3
12	University of South Wales	356	4.11	2.47	64	82.1
11	Harper Adams University	306	3.86	N/A	84	81.7
10	Bournemouth University	N/A	3.38	2.31	N/A	81.7
9	Staffordshire University	258	3.93	2.26	72	80.4
8	University of Brighton	314	3.67	2.67	62	80.0
7	University of Wales Trinity Saint David	258	3.79	1.75	70	79.7
6	Birmingham City University	299	3.61	2.04	72	79.6
5	Anglia Ruskin University	248	4.46	N/A	72	79.6
4	London South Bank University	293	3.79	2.59	52	79.1
3	Southampton Solent University	233	4.17	N/A	N/A	77.9
2	Kingston University	280	3.67	2.32	54	76.3
1	University of Bolton	N/A	3.84	N/A	60	75.5
