Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
39	University of Surrey	436	4.22	3.37	95	100.0
38	Queen's University, Belfast	384	4.31	3.26	90	97.1
37	University of Leeds	435	4.24	3.06	80	96.7
36	King's College London	442	3.76	3.33	85	96.5
35	The University of Nottingham	374	4.01	3.12	90	94.2
34	Coventry University	373	4.47	3.14	90	93.8
33	Newcastle University	403	3.67	2.84	85	93.1
32	University of Reading	383	3.93	3.24	75	92.4
31	University of Hertfordshire	336	4.06	2.41	95	90.9
30	Robert Gordon University	429	4.47	2.85	60	90.3
29	University of Lincoln	N/A	3.82	3.07	75	89.1
28	Bournemouth University	325	4.18	2.56	80	86.5
27	Harper Adams University	288	3.92	2.66	90	85.8
26	University of Chester	318	3.79	2.29	80	85.8
25	Leeds Beckett University	315	4.39	2.72	70	85.8
24	Queen Margaret University	384	3.95	2.41	65	85.4
23	Plymouth University	349	4.25	2.60	55	84.9
22	University of Central Lancashire	375	4.31	2.63	50	84.5
21	Northumbria University	346	4.24	3.12	50	83.9
20	University of Worcester	286	4.64	2.24	N/A	83.8
19	Kingston University	N/A	4.85	2.82	50	83.7
18	Sheffield Hallam University	299	4.2	2.81	70	83.6
17	University of Roehampton	263	3.93	2.85	75	83.3
16	Manchester Metropolitan University	342	3.51	2.88	60	82.5
15	London South Bank University	N/A	3.87	2.87	45	82.0
14	University of Westminster	287	4.12	2.75	55	81.1
13	Oxford Brookes University	296	3.62	2.96	65	80.6
12	University of Greenwich	N/A	3.72	2.70	50	80.2
11	Liverpool John Moores University	342	4.33	N/A	60	80.2
10	Teesside University	296	3.92	N/A	80	80.1
9	Liverpool Hope University	341	4.33	N/A	55	79.2
8	London Metropolitan University	266	3.86	2.57	65	78.9
7	Cardiff Metropolitan University	291	4.16	N/A	65	77.6
6	Bath Spa University	309	4.36	N/A	55	77.4
5	Royal Agricultural University	N/A	3.71	1.40	N/A	76.5
4	University of Huddersfield	301	4.09	N/A	55	75.9
3	Leeds Trinity University	260	4.32	N/A	60	75.4
2	St Mary's University, Twickenham	274	4.06	N/A	N/A	74.2
1	University Campus Suffolk	312	4.22	N/A	40	74.1
