Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
49	University of Cambridge	629	3.93	3.48	96	100.0
48	Imperial College London	596	4.47	3.39	88	98.7
47	University of Bristol	568	3.97	3.30	96	97.6
46	University of Oxford	603	3.94	3.51	88	97.4
45	Durham University	568	4.21	3.08	88	95.7
44	The University of Warwick	462	4.0	3.22	92	93.5
43	Cardiff University	399	3.99	3.31	100	92.9
42	Lancaster University	N/A	4.18	3.08	N/A	92.6
41	University of Exeter	444	4.01	3.18	90	91.9
40	University of Aberdeen	516	3.9	2.94	N/A	91.7
39	University of Southampton	N/A	3.9	3.23	N/A	91.6
38	University of Surrey	N/A	4.23	2.98	N/A	90.7
37	The University of Nottingham	N/A	4.31	3.16	78	89.7
36	University of Strathclyde	442	3.86	3.03	N/A	89.7
35	University of Dundee	N/A	3.93	3.31	N/A	89.6
34	Swansea University	333	4.18	3.29	84	88.7
33	Nottingham Trent University	N/A	4.15	3.09	N/A	88.6
32	Northumbria University	N/A	3.84	2.80	N/A	87.9
31	Coventry University	258	4.28	2.62	100	87.6
30	Brunel University London	N/A	3.98	2.70	N/A	87.3
29	University of Lincoln	342	4.1	2.40	94	87.0
28	Anglia Ruskin University	N/A	4.41	2.28	N/A	86.9
27	University of Hull	N/A	4.06	2.82	N/A	86.4
26	University of Leicester	381	3.67	2.99	76	85.2
25	University of the West of England	310	4.5	2.85	80	84.8
24	Plymouth University	N/A	3.89	2.72	N/A	84.7
23	University of the West of Scotland	N/A	4.77	2.48	70	84.0
22	Ulster University	300	4.24	2.89	74	83.4
21	University of Hertfordshire	N/A	3.63	2.52	N/A	83.3
20	City University London	342	4.26	2.85	70	83.3
19	London South Bank University	259	4.15	2.59	76	82.2
18	Sheffield Hallam University	296	3.77	2.55	78	82.1
17	University of Huddersfield	N/A	3.82	2.48	N/A	82.0
16	Harper Adams University	N/A	3.86	2.66	N/A	81.6
15	Glasgow Caledonian University	370	3.85	2.40	76	81.3
14	University of Bolton	253	3.84	2.60	N/A	80.5
13	University of Brighton	N/A	3.66	2.67	N/A	80.5
12	Staffordshire University	N/A	3.95	2.26	N/A	80.3
11	University of South Wales	N/A	3.88	2.47	N/A	80.1
10	Liverpool John Moores University	337	4.14	2.45	64	80.0
9	University of Central Lancashire	340	4.07	2.63	68	80.0
8	Edinburgh Napier University	332	3.78	2.29	76	80.0
7	University of Wales Trinity Saint David	N/A	3.79	1.75	N/A	79.7
6	Bournemouth University	301	3.38	2.31	80	79.6
5	University of Derby	276	4.12	1.67	N/A	78.9
4	University of Bradford	317	4.25	2.69	56	77.2
3	University of Greenwich	N/A	4.03	2.31	54	73.4
2	The University of Northampton	222	3.82	N/A	76	72.8
1	Southampton Solent University	N/A	3.39	1.41	N/A	67.9
