Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
35	University of Cambridge	599	3.99	3.20	80	100.0
34	The University of Sheffield	433	4.22	3.20	75	95.1
33	University College London	491	3.81	3.00	75	95.0
32	University of Oxford	542	3.72	2.88	70	94.7
31	The University of Edinburgh	483	4.02	3.29	65	94.5
30	Lancaster University	424	4.33	3.14	70	94.4
29	University of Bedfordshire	N/A	4.27	3.23	N/A	94.0
28	Newcastle University	444	3.99	3.04	75	94.0
27	University of Southampton	N/A	4.25	3.23	N/A	93.7
26	University of Surrey	N/A	4.26	3.01	N/A	92.7
25	University of Leeds	412	4.32	2.91	65	91.7
24	University of Portsmouth	N/A	4.23	2.89	N/A	91.7
23	University of Reading	N/A	4.2	3.04	N/A	91.0
22	University of Aberdeen	N/A	4.27	3.24	55	90.9
21	University of York	421	4.04	3.16	60	90.6
20	Queen Mary, University of London	367	3.67	3.58	65	90.6
19	University of East Anglia (UEA)	N/A	3.94	3.08	N/A	90.1
18	The School of Oriental and African Studies, University of London	384	4.09	2.84	65	89.9
17	University of Kent	326	3.97	3.24	65	89.8
16	Bangor University	325	4.4	3.13	60	89.8
15	University of Roehampton	N/A	4.23	2.72	N/A	89.7
14	Swansea University	N/A	4.11	2.77	N/A	89.3
13	Manchester Metropolitan University	314	4.4	3.07	N/A	89.3
12	The University of Manchester	385	3.85	3.16	55	88.9
11	Anglia Ruskin University	N/A	4.09	2.43	N/A	87.6
10	University of Central Lancashire	350	3.99	2.78	N/A	86.7
9	University of the West of England	336	4.31	2.43	55	85.6
8	University of Westminster	288	4.15	3.11	50	85.5
7	Ulster University	311	4.22	2.42	50	85.2
6	University of Essex	300	3.84	3.20	50	85.2
5	University of Brighton	318	3.91	2.90	55	85.2
4	Nottingham Trent University	273	4.04	2.81	N/A	83.9
3	York St John University	286	4.13	2.14	50	82.0
2	University of Greenwich	N/A	3.72	2.14	N/A	82.0
1	University of Hertfordshire	285	4.16	N/A	40	79.4
