Rank 2017 - Reversed	Univeristy Name	Entery Standards	Student Satisfaction	Research Quality	Graducate Prospects	Overall Score
97	University of Cambridge	551	4.15	2.98	82	100.0
96	Durham University	452	4.08	2.90	77	94.6
95	University of Bath	395	4.16	3.23	78	93.9
94	The University of Edinburgh	480	3.87	3.16	64	93.8
93	University of Aberdeen	435	4.0	2.86	71	93.0
92	University of Exeter	424	4.28	2.99	62	92.6
91	University of Glasgow	429	4.22	3.20	62	92.5
90	University of Surrey	421	4.38	2.91	63	92.2
89	Loughborough University	364	4.19	3.35	68	92.0
88	University of Leeds	400	4.19	3.12	64	91.9
87	University of Sussex	357	4.09	2.75	79	91.9
86	King's College London	448	3.88	3.01	N/A	91.8
85	The University of Warwick	404	4.06	2.76	65	90.9
84	Lancaster University	362	4.21	3.21	64	90.9
83	University of York	376	4.22	3.27	60	90.5
82	The University of Nottingham	363	4.02	3.13	67	90.2
81	London School of Economics and Political Science	438	3.21	3.12	66	90.0
80	University of Kent	326	4.13	3.37	65	89.8
79	University of Birmingham	368	3.54	2.78	78	89.7
78	The University of Sheffield	369	4.1	3.04	65	89.7
77	University of Bristol	398	3.39	3.07	65	89.1
76	University of Leicester	375	4.27	2.58	60	88.8
75	Newcastle University	371	4.01	2.92	60	88.6
74	The University of Manchester	376	3.92	3.26	53	88.4
73	Cardiff University	375	4.05	3.22	55	88.3
72	Robert Gordon University	353	4.2	2.85	67	88.2
71	University of Stirling	375	3.88	3.01	58	88.2
70	University of East Anglia (UEA)	N/A	3.92	3.38	N/A	88.1
69	Bangor University	328	4.32	3.13	54	87.6
68	Aston University	322	4.17	3.08	57	87.5
67	Keele University	327	4.13	2.86	61	87.4
66	University of Southampton	377	3.92	3.23	47	87.4
65	Oxford Brookes University	315	4.33	2.37	62	86.8
64	University of Essex	307	4.12	3.14	52	86.1
63	Queen's University, Belfast	339	4.15	2.59	51	86.0
62	University of Portsmouth	320	4.19	2.89	50	85.7
61	Goldsmiths, University of London	324	4.22	2.83	46	85.5
60	University of Huddersfield	273	4.43	2.83	62	85.5
59	City University London	346	4.12	2.86	49	85.5
58	Edinburgh Napier University	368	4.25	2.65	49	85.5
57	University of Liverpool	358	3.75	2.88	49	85.1
56	Glasgow Caledonian University	408	3.97	2.78	40	85.0
55	University of Bradford	314	3.99	2.86	55	84.3
54	University of Strathclyde	N/A	4.25	2.94	40	84.3
53	Northumbria University	350	4.0	2.49	41	83.1
52	Manchester Metropolitan University	320	4.18	2.83	41	83.0
51	Abertay University	316	3.93	2.00	58	83.0
50	Royal Holloway, University of London	362	4.13	N/A	54	82.9
49	University of Lincoln	309	4.31	N/A	61	82.9
48	Coventry University	292	4.27	2.01	54	82.9
47	Queen Margaret University	327	4.12	2.48	40	82.8
46	University of Hull	319	4.03	2.58	43	82.5
45	University of the West of Scotland	320	4.25	2.23	40	82.2
44	University of Central Lancashire	317	4.12	2.58	40	82.0
43	Bath Spa University	289	4.09	2.69	44	81.8
42	De Montfort University	283	3.98	2.55	50	81.8
41	Brunel University London	310	3.86	2.69	36	81.6
40	Middlesex University	280	3.97	2.58	47	81.5
39	University of Roehampton	259	4.17	2.66	43	81.5
38	Swansea University	318	4.48	N/A	N/A	81.3
37	Ulster University	262	4.38	2.94	30	81.2
36	University of Salford	296	3.9	2.65	36	81.1
35	Edge Hill University	301	4.05	2.03	48	81.0
34	University of Derby	285	4.0	2.63	42	80.9
33	University of the West of England	317	3.7	2.36	44	80.9
32	University of Brighton	272	3.9	2.60	47	80.7
31	Birmingham City University	302	3.93	2.02	47	80.4
30	University of Chester	285	4.35	1.58	39	80.3
29	Plymouth University	283	3.92	2.77	38	80.2
28	University of Bedfordshire	212	4.26	3.05	43	80.1
27	St Mary's University, Twickenham	256	4.01	N/A	62	80.0
26	Liverpool Hope University	299	4.35	2.13	34	80.0
25	Sheffield Hallam University	293	3.97	2.72	36	80.0
24	Teesside University	273	4.11	2.99	33	79.9
23	University of East London	263	4.13	2.74	37	79.8
22	The University of Winchester	273	3.95	1.85	46	79.6
21	Nottingham Trent University	272	4.22	N/A	49	79.1
20	Staffordshire University	266	4.21	1.86	40	78.9
19	University of Sunderland	274	4.27	2.12	38	78.8
18	The University of Northampton	243	4.38	N/A	49	78.6
17	University of Greenwich	320	4.23	N/A	36	78.5
16	London South Bank University	223	3.88	2.67	39	78.4
15	University of the Highlands and Islands	247	3.87	N/A	53	77.6
14	Bournemouth University	276	3.9	2.56	32	77.6
13	University Campus Suffolk	303	4.09	N/A	36	77.5
12	Leeds Beckett University	260	4.0	1.93	37	77.4
11	Newman University	272	4.14	N/A	N/A	77.4
10	Canterbury Christ Church University	239	4.15	N/A	47	77.3
9	University of Gloucestershire	301	4.07	N/A	35	77.1
8	Buckinghamshire New University	250	4.08	N/A	45	77.1
7	University of Westminster	275	4.19	N/A	37	77.0
6	University of South Wales	309	4.07	N/A	31	76.7
5	Anglia Ruskin University	234	4.37	N/A	40	76.7
4	Liverpool John Moores University	319	3.7	N/A	36	76.6
3	University of Worcester	264	3.93	N/A	41	76.3
2	Kingston University	269	3.93	N/A	38	76.0
1	London Metropolitan University	255	4.05	N/A	36	75.5
